Date,SP500,SMALL CAP,TBILL,GOVT IT,GOVT LT,CORP LT,INFLATION
4/30/1996,0.0258,0.0749,0.004232358,-0.003175408,-0.005443611,0.000500014,0.001919449
3/31/1996,0.0147,0.0848,0.004579346,-0.004994583,-0.016512188,-0.016,0.003853576
2/29/1996,0.0096,0.0228,0.003942688,-0.011835613,-0.02099529,-0.013000015,0.005164638
1/31/1996,0.0093,0.0369,0.00390842,-0.01376181,-0.048250309,-0.037299995,0.003238294
12/31/1995,0.034,0.0028,0.004277639,0.000612317,-0.00107709,0.001400009,0.005863151
11/30/1995,0.0193,0.0239,0.004882254,0.009483307,0.027187773,0.022799998,-0.000650985
10/31/1995,0.0439,0.0192,0.004200991,0.014861785,0.024924816,0.02419999,-0.000650562
9/30/1995,-0.0036,-0.0487,0.004714013,0.012064796,0.029407905,0.0185,0.003263659
8/31/1995,0.0422,0.0195,0.004308772,0.006386495,0.017482884,0.015299997,0.001962131
7/31/1995,0.0025,0.0358,0.004664189,0.008595698,0.023613707,0.02140002,0.002622959
6/30/1995,0.0332,0.0645,0.004522134,-0.001575085,-0.016770792,-0.010100011,0
5/31/1995,0.0232,0.0568,0.004714511,0.007939392,0.013883303,0.007900001,0.001971038
4/30/1995,0.04,0.0298,0.005355136,0.03685952,0.079028691,0.063099999,0.001975049
3/31/1995,0.0294,0.0352,0.00445005,0.014346875,0.016936191,0.01750001,0.003302461
2/28/1995,0.0295,0.0145,0.00461899,0.006268616,0.009146004,0.009499999,0.003313522
1/31/1995,0.039,0.0252,0.00398297,0.023423302,0.02866192,0.0289,0.003992029
12/31/1994,0.0259,0.0283,0.004155517,0.018185078,0.027289185,0.025599992,0.004008029
11/30/1994,0.0148,0.0002,0.004429934,0.0053353,0.016065596,0.015700012,0
10/31/1994,-0.0364,-0.0326,0.003690482,-0.007002595,0.006611616,0.001799986,0.001337797
9/30/1994,0.0225,0.0115,0.003840518,-0.002333197,-0.002450428,-0.004999996,0.000669286
8/31/1994,-0.0245,0.0105,0.003659116,-0.015820203,-0.033074093,-0.026500013,0.002684572
